When is [professor] teaching [class-number]? | List of [day]
Is [course] being taught this quarter? | There are [num_sections] sections of [course].
Is [course] offered this quarter? | There are [num_sections] sections of [course].
Can I take [course] this quarter? | There are [num_sections] sections of [course].
Is [course] available? | There are [num_sections] sections of [course].
How many sections of [course] are there? | There are [num_sections] sections of [course].
Who is [course] being taught by? | [course] is being taught by [teachers].
Who is teaching [course] this quarter? | [course] is being taught by [teachers].
What professors are teaching [course] this quarter? | [course] is being taught by [teachers].
Who can I take [course] with? | [course] is being taught by [teachers].
What days is [course]-[course] being taught? | [course]-[course] is taught on [days].
What days of the week is [course]-[course]? | [course]-[course] is taught on [days].
When is [course]-[course] being taught? | [course]-[course] is taught on [days].
What time is [course]-[course] being taught? | [course]-[course] is taught at [time].
What time of day is [course]-[course] being taught? | [course]-[course] is taught at [time].
Who is [course]-[course] taught by? | [course]-[course] is taught by [professor].
How many sections does [professor] teach? | [professor] teaches [integer] sections.
What classes does [professor] teach? | [professor] teaches [classes].
Does [professor] teach [course]? | [professor] teaches [classes].
What sections does [professor] teach? | [professor] teaches [class_sections].
Does [professor] teach [course]-[course]? | [professor] teaches [class_sections].
Where is [professor]'s office? | [professor]'s office is at building [Building], location [Room].
What is [professor]'s phone number? | [professor]'s phone number is [phone].
What type of class is [course]-[course]? | [course]-[course] is a [type].
What is [professor]'s alias? | [professor]'s alias is [professor].
What time is [professor] office hours? | They are at [time] [day].
When are [professor] office hours? | They are at [time] [day].
Does [professor] have afternoon office hours? | Yes
Does [professor] have morning office hours? | No
Where and when are [professor] office hours? | They are at [time][day] in [building][location]
What [building] are [professor] office hours? | building [Building], location [Room]
What [building] is [course][course] in? | building [Building], location [Room]
When is [course] in [location]? | [time] [day]
Is [course] MWF? | Yes
Is [course] TR? | No, it is [day]
Is [course] MTRF? | No, it is [day]
Is [course] MTWR? | No, it is [day]
Does [professor] have office hours [day]? | Yes, they are at [time] [day]
Does [professor] have office hours today? | No
Does [professor] have office hours tomorrow? | Yes, they are at [time] [day]
What time is [course][course]? | [time] [day]
Who teaches [course][course]? | [professor]
Who is [professor]? | [professor]
What is the capacity for [course][course]? | The capacity is [capacity] students.
What is the capacity for [course]? | The max capacity for course [Section] is [Capacity[ students
What college is [professor] affiliated with? | [college]
What college is [professor] affiliated with? | [college]
What college is professor [professor] affiliated with? | [college]
What college is Dr. [professor] affiliated with? | [college]
What day is [course] offered on? | [course] [course] is [day]
Is [course][course] offered on [day]? | Yes, [course] [course] is offered on [day]
Does [course] have a lab? | Yes/No
How long has [professor] taught? | [integer] Years
Are there any teachers with first name [professor]? | Yes [professor], [professor], ...
Are there any teachers with last name [professor]? | Yes [professor], [professor], ...
Are there are [course] being taught on [day]? | Yes the classes are [course], [course], ...
What day does [quarter] start? | [month] [day]
What day does [quarter] end? | [month] [day]
Is [professor] a Professor? | Yes/No
What [course] has the highest enrollment for [course]? | [course]
What [course] has the lowest enrollment for [course]? | [course]
What is the average class size for [professor]? | [integer]
Which teacher teaches the most sections for [course]? | [professor]
Which teacher teaches the least sections for [course]? | [professor]
What is the latest start time for [course] | [time]
What is the earliest start time for [course] | [time]
Which teacher has [phone]? | [professor]
Which teacher has [professor]? | [professor]
What is the first name of [last name]? | [first name]
Which teacher teaches the most classes in [department] | [professor]
Which teacher teaches the least classes in [department] | [professor]
Which teacher is at [office]? | [professor]
Which [quarter] in [year] had the most sections for [course]? | [quarter]
Which [quarter] in [year] had the least sections for [course]? | [quarter]
Is [location] Available after [time]? | Yes
Is [location] Available before [time]? | No
Who is using [location] [time]? | [professor] is using [location] [time]
What's the capacity of [location]? | The capacity of [location] is 28
What's the enrollment capacity of [location]? | The enrollment capacity of [location] is 40
Which classes are being taight in [location]? | [course] is being taught in [location]
Is [professor] teaching any in person classes? | Yes
When is [professor] available? | [professor] is available [time]
Can I visit [professor] [time]? | No
Who is teaching [course]? | [professor] is teaching [course]
Can I still enroll [course]? | Yes
What's the enrollment capacity of [course]? | The enrollment capacity of [course] is 40
What [professor]'s email address? | [professor]'s email address is [email]
What 's the [phone number'] of [professor]? | It is [phone number]
When is the [office hour] of [professor]? | It is  [time]
Where is [professor]'s [course]? | It's at [location]
What's this [phone number] belongs to? | It belongs to [professor]
Which [professor] doesn't teach this quarter? | [professor] doesn't teach this quarter,
Is [course] virtual or in person? | It's virtual
Is [course] gonna be virtual? | No
Which in person class is available [time]? | [course] are available [time]
Which virtual class is available [time]? | [course] are available [time]
How to contact [professor]? | [professor] email is [email]
Is [professor] teaching [course]? | No
Does [professor] teach 500 level class? | No
Does [professor] teach 300 level class? | No
What is [professor]’s professor? | [professor]’s Alias is [Alias].
What’s [professor]’s username? | [professor]’s username is [professor]
What is [professor]’s email? | [professor]’s email is [professor]@calpoly.edu
How can I contact [professor]? | [professor]’s email is [professor]@calpoly.edu
What is [professor]’s title? | [professor]’s title is [teachertitle]
What’s [professor]’s phone number? | [professor]’s phone number is [phonenumber]
Do you have the phone number for [professor]? | Yes, you can reach [professor] at [phonenumber].
How can I contact [professor]? | Here is the contact information for [professor], phone: [phonenumber], email: [professor]@calpoly.edu office: [roomnumber].
What’s [professor]'s title? | [professor]'s title is [teachertitle].
Where is [professor]’s office? | [professor]’s office is [roomnumber]
What is the room number of [professor]’s office? | [professor]’s office is [roomnumber]
Where can I find [professor]? | [professor] has office hours at [roomnumber] on [dayofweek] - [timerange].
When does [professor] hold office hours today? | [professor] holds office hours at [timerange]
When does [professor] hold office hours? | [professor] holds office hours at [dayandtime]
What days does [professor] hold office hours? | [professor] holds office hours at [dayofweek]
When are [professor]’s office hours today? | [professor] holds office hours at [timerange]
When can I go to [professor]’s office hours today? | [professor] holds office hours at [timerange]
Does [professor] have hours today? | [bool]
When are [professor]’s office hours today? | [professor] holds office hours at [timeofday]
When are [professor]’s office hours? | [professor] holds office hours at [dayandtime]
What classes does [professor] teach? | [professor] teaches these classes: [course]
What courses does [professor] teach? | [professor] teaches these classes: [course]
What classes does [professor] teach? | [professor] teaches these classes: [course]
Which classes are taught by [professor]? | [professor] teaches these classes: [course]
What course does [professor] teach? | [professor] teaches these classes: [course]
What does [professor] teach? | [professor] teaches these classes: [course]
Does [professor] teach [course]? | Yes, [professor] teaches [course] section [coursesection].
Where does [professor] teach [course]? | [professor] teaches [course] at [roomnumber].
When does [professor] teach [course]? | [professor] teaches [course] at [timerange] on [dayofweek].
How many people can take [professor]'s section of [course]? | [professor]'s section of [course] has an enrollment capacity of [enrollmentcap].
What is the location capacity of [professor]'s section of [course]? | [professor]'s section of [course] has a location capacity of [locationcap].
What are the professors for [course]? | The professors for [course] are: [teachernamelist].
Who teaches [course]? | [course] is taught by: [professor]
Who is [course] taught by? | [course] is taught by: [professor]
What is the schedule for [course] [coursesection]? | [course] [coursesection] is offered [dayofweek] at [timerange]
What time is [course] [coursesection]? | [course] [coursesection] is offered [dayofweek] at [timerange]
What day is [course] [coursesection]? | [course] [coursesection] is offered [dayofweek] at [timerange]
When is [course] [coursesection]? | [course] [coursesection] is offered [dayofweek] at [timerange]
What days is [course] [coursesection] taught? | [course] [coursesection] is offered [dayofweek] at [timerange]
What times is [course] [coursesection] taught? | [course] [coursesection] is offered [dayofweek] at [timerange]
What is the name of [course]? | [course]: [coursename]
What is [course] called? | [course]: [coursename]
What is [course]? | [course]: [coursename]
What class is [course]? | [course]: [coursename]
What is the course number of [coursename]? | [course]: [coursename]
What class is [coursename]? | [course]: [coursename]
What is the course code of [coursename]? | [course]: [coursename]
How many sections of [course] are there? | [numberofsections]
When does [course] start today? | [course] is offered at [timerange]
When does [course] start today? | [course] is offered at [timerange]
How many sections of [course]? | There are [numberofsections] sections of [course].
What is [course] called? | [course] is known as [coursename].
Are there prerequisites for [course]? | The prerequisites for [course] are: [courserequisites].
Tell me the course number for [coursename]? | The course number for [course] [coursesection] is [course].
When is [course] [coursesection] taught? | [course] is taught at [timerange] on [dayofweek].
How many students can take [course]? | The enrollment capacity for [course] section [coursesection] is [enrollmentcap].
When would I get out of [course][coursesection]? | [course] section [coursesection] ends at [dayandtime].
Does [course][coursesection] conflict with [course][coursesection]? | [bool].
How many courses does [dept] offer? | [dept] offers [numberofcourses]
How many classes does [dept] offer? | [dept] offers [numberofcourses]
What courses does [dept] offer? | [dept] offers [course]:[coursename]
What [dept] courses are offered? | [dept] offers [course]:[coursename]
What [dept] classes are offered in the Fall? | [dept] offers [course]:[coursename]
What [dept] classes are there? | [dept] offers [course]:[coursename]
What sections of [course] are offered? | 
What is the enrollment cap of [course]? | [enrollmentcap] total seats in [course]
How many spots are there in  [course]? | [enrollmentcap] total seats in [course]
How many seats are there in [course]? | [enrollmentcap] total seats in [course]
How many available seats are there in [course]? | [enr]/[enrollmentcap] seats available in [course]
How many open spots does [course] have? | [enr]/[enrollmentcap] seats available in [course]
Can I enroll in [course]? | [enr]/[enrollmentcap] seats available in [course]
Does [course] have open seats? | [enr]/[enrollmentcap] seats available in [course]
How long is the waitlist for [course]? | [waitlist] people on the waitlist for [course]
How many people are waiting in [course]? | [waitlist] people on the waitlist for [course]
Is there a waitlist for [course]? | [waitlist] people on the waitlist for [course]
What classes use [roomnumber]? | [courselist] are taught in [roomnumber].
Who teaches in [roomnumber]? | [teachernamelist] uses [roomnumber].
When is [roomnumber] in use on [dayofweek]? | [roomnumber] is used during [timerange] on day.
Is [roomnumber] available at [timerange] on [dayofweek]? | [bool].
How many people can fit in [roomnumber]? | [locationcap] people can fit in [roomnumber].
What is [roomnumber] called? | [roomnumber] is known as [course].
Is [course] taught in [roomnumber]? | [bool].
Does [professor] use [roomnumber]? | [bool].
Are there any [gearea] courses in [roomnumber]? | [bool].
Can I find [professor] in [roomnumber]? | [bool].
What GE areas does [course] satisfy? | [course] satisfies [gearea]
Which GE area does [course] satisfy? | [course] satisfies [gearea]
What are the GE areas for [course]? | [course] satisfies [gearea]
How many [course] sections are there? | There are [numberofsections] sections of [course].
What GE requirement is fulfilled by taking [course]? | [course] fulfulls GE Requirement [gereq].
What is the description for [course]? | [course]'s description is [coursename].
Which course is [coursename]? | [coursename]'s course number is [course].
What is the enrollment cap for [course]? | There can be a maximum of [enrollmentcap] students in a section of [course].
What courses are taught by [professor]? | [professor] teaches [courselist].
What is [professor]'s weekly schedule? | [professor] is busy [dayandtime].
What times is [professor] available on [dayofweek]? | [professor] is busy [timerange].
Where can I find [professor]'s office? | [professor]'s office is [roomnumber].
Which professor works in office [roomnumber]? | [professor] works in [roomnumber].
Which sections of [coursename] are taught by [professor]? | [professor] teaches sections [sectionlist].
What is [professor]'s phone number? | You can reach [professor] at [phonenumber].
Is [professor] a lecturer? | [bool], [professor] [isisnt] as lecturer.
What is [professor]'s job title? | [professor] is a [teachertitle].
How many sections of independent study are advised by [professor]? | [professor] advises [numberofsections] sections.
In which classroom is secion [coursesection] of course [course] taught? | [coursename] section [coursesection] [roomnumber]
What courses are being taught in [roomnumber]? | [courselist] are all taught in [roomnumber].
What is the weekly schedule for [course] section [coursesection]? | Section [coursesection] of [course] is taught [dayandtime].
What is [professor]'s Cal Poly username? | [professor]'s username is [professor].
How can I contact [professor]? | [professor]'s phone number is [phonenumber], and [professor]'s office is [roomnumber].
How many sections of independent study does [professor] advise? | [professor] is the advisor for [numberofsections] sections of independent study.
How can I fulfill GE requirement [gereq]? | [courselist] fulfills GE requirement [gereq].
How busy is [professor]? | [professor] is busy [dayandtime].
What is [professor]'s email address? | You can reach [professor] at [professor]@calpoly.edu.
Which professors teach [coursename]? | [coursename] is taught by [teachernamelist]
Who teaches section [coursesection] of [course]? | [professor] teaches [coursesection] of [course].
Who are the [dept] professors? | The [dept] professors are [teachernamelist].
What are the courses offered by [dept]? | [dept] offers [courselist].
Is [course] being offered? | [yesno]
Will [course] be offered? | [yesno]
How many courses is [professor] teaching? | [professor] is teaching [num-courses] in Fall 2021
How many classes is [professor] teaching? | [professor] is teaching [num-courses] in Fall 2021
Which professors are teaching [course]? | [faculty-list] will be teaching [course]
Who is teaching [course]? | [faculty-list] will be teaching [course]
Who will be teaching [course]? | [faculty-list] will be teaching [course]
Which professors are teaching [class-sect]? | [professor] will be teaching [class-sect]
Who is teaching [class-sect]? | [professor] will be teaching [class-sect]
Who will be teaching [class-sect]? | [professor] will be teaching [class-sect]
Which [course] classes are being offered? | [class-list]
What [course] classes are being offered? | [class-list]
Which classes will [professor] be teaching? | [professor] will be teaching [class-sect-list]
When will [course] be offered? | [course] will be offered during [time-list]
When will [class-sect] be offered? | [class-sect] will be offered during [time]
What days is [class-sect] on? | [class-sect] will be taught on [days]
Where will [class-sect] be located? | [class-sect] will be taught at [location]
Where is [class-sect] going to be? | [class-sect] will be taught at [location]
Where will [class-sect] be? | [class-sect] will be taught at [location]
Where will [class-sect] be taught? | [class-sect] will be taught at [location]
What days will [class-sect] be taught? | [class-sect] will be taught on [days]
Which days will [class-sect] be taught? | [class-sect] will be taught on [days]
How many professors are teaching [course]? | [course] will be taught by [num-faculty]
Where is [professor]’s office? | [professor] is located in [location]
Where is [professor] located? | [professor] is located in [location]
Where is [professor]’s office hours | [professor] is located in [location]
What is [professor]’s contact? | [professor] can be reached at [phone] or [cp-email]
What is [professor]’s phone number? | [professor] can be reached at [phone]
How do I contact [professor]? | [professor] can be reached at [phone] or [cp-email]
What is the name for class [course]? | The name for [course] is [class-name]
What is [course]? | The name for [course] is [class-name]
Which classes fall under GE [ge-req]? | Classes [class-list] fall under [ge-req]
Which classes count for GE [ge-req]? | Classes [class-list] fall under [ge-req]
How many sections of [course] will be offered? | [num-sections] of [course] will be offered
Which sections of [course] will be offered? | [class-sect-list] are offered for [course]
What is the enrollment capacity for [class-sect]? | The enrollment capacity for [class-sect] is [ecap]
How many people have enrolled in [class-sect]? | [enrolled] have enrolled in [class-sect]
How many people are there in [class-sect]? | [enrolled] have enrolled in [class-sect]
How many people have waitlisted in [class-sect]? | [waitlisted] have waitlisted for [class-sect]
How many people are on the waitlist for [class-sect]? | [waitlisted] have waitlisted for [class-sect]
Which [course] [class-level] level classes are being offered? | [class-list] are being offered
What [class-level] level [course] classes are being offered? | [class-list] are being offered
Which [class-level] level classes are being offered by [professor]? | [professor] is offering [class-list]
Can you search for class [string]? | The results are [class-list]
Is there a lab for [course]? | [yesno]
Does [course] have a lab? | [yesno]
Is there a lab for [class-sect]? | [yesno]
Does [class-sect] have a lab? | [yesno]
What pre-reqs does [course] have? | The prerequisites for [course] are [prereqs]
How many pre-reqs does [course] have? | The prerequisites for [course] are [prereqs]
Does [course] have any pre-reqs? | The prerequisites for [course] are [prereqs]
What do I need to take before [course]? | The prerequisites for [course] are [prereqs]
What is the class number for [course]? | The class number for [course] is [class-num]
What is the class code for [course]? | The class number for [course] is [class-num]
What is [course]’s class number? | The class number for [course] is [class-num]
What is [course]’s class code? | The class number for [course] is [class-num]
Which class has the most sections? | [course] has the most number of sections
Which [course] class has the most sections? | [course] has the most number of sections for [course]
Which classes are offered on [days]? | [class-list] are offered on [days]
Which [course] classes are offered on [days]? | [class-list] are offered on [days] for [course]
Which classes are offered between [time] and [time]? | [class-list] are offered between [time] and [time]
Which [course] classes are offered between [time] and [time]? | [class-list] are offered between [time] and [time] for [course]
Which sections for [course] are offered between [time] and [time]? | [class-sect-list] are offered between [time] and [time] for [course]
What is [professor]’s alias? | [professor]’s Cal Poly username is [cp-username]
What is [professor]’s Cal Poly username? | [professor]’s Cal Poly username is [cp-username]
What is [professor]’s email? | [professor]’s Cal Poly email is [cp-email]
What is the email for [professor]? | [professor]’s Cal Poly email is [cp-email]
Can I take [course] with [course]? | [yesno]
Can I take both [course] and [course] at the same time? | [yesno]
Can I attend [professor]’s office hours and [professor]’s office hours? | [yesno]
Can I take [class-list] without having classes on [day] | [yesno]
Can I take [class-list] without any classes on [day]? | [yesno]
Can I take [class-list] with only classes on [days] | [yesno]
What is the total number of seats available for [course]? | [num-sections] * [ecap]
What is the total number of seats available for [professor]’s [course]? | [num-sections-professor] * [ecap]
How many seats does [course] have? | [num-sections] * [ecap]
How many seats of [course] are taught by [professor]? | [num-sections-professor] * [ecap]
How many students is [professor] teaching? | [num-courses]* [ecap]
How many seats does [professor] have available? | [num-courses]* [ecap]
Will [professor] have office hours at [time]? | [yesno]
Will [professor] have class at [time]? | [yesno]
Does [professor] have office hours on [day]? | [yesno]
Does [professor] have class on [day]? | [yesno]
Can I take a class with [professor] with less than [ecap] people? | [yesno]
Can I take [course] with less than [ecap] people? | [yesno]
Is there a class taught by [professor] that has less than [ecap] students | [yesno]
Is there a section of [course] that has less than [ecap] students? | [yesno]
Does [professor] teach [course] classes? | [yesno]
Does [professor] teach any non-[course] classes? | [yesno]
How many [course] classes does [professor] teach? | [num-courses-major]
How many non-[course] classes does [professor] teach? | [num-courses-major]
Is [professor] teaching [course]? | [yesno]
Can I take [course] and attend [professor]’s office hours | [yesno]
Can I take a class taught by [professor] and [professor] | [yesno]
Can I take a [course] class taught by [professor] and a [course] class taught by [professor]? | [yesno]
What [class-level] classes is [professor] teaching? | [class-list]
What [class-level] classes are offered [days] | [class-list]
How many [class-level] classes are being offered? | [num-classes]
How many [course] [class-level] courses are offered? | [num-classes]
How many [ecap] classe are being offered? | [num-classes]
How many instructors are in the [department_name]? | There are [number_of_instructors] in [department_name]
How many lecturers are in the [department_name]? | There are [number of lecturers] in [department_name]
What is [professor]'s email? | [professor]'s email is [email]
How many sections does [professor] teach? | [professor] teaches [number of classes] sections.
How many different classes are offered this term? | There are [number of courses] offered this term.
Which professors teach [course]? | [professors...] teach [course]
What location is [course]-[course_section] taught in? | [class]-[class_section] is taught in [room]
How many students can enroll in [course]? | [total_number_of_students] can enroll in [course]
Who teaches class number [class number]? | [professor] teaches class number [class number]
What days is [class number] scheduled for? | [class_number] is scheduled for [days of week]
What time does [class number] start? | [class number] starts at [time]
What section of [course] starts the latest? | [class_section] starts the latest, at [time]
What section of [course] starts the earliest? | [class_section] starts the earliest, at [time]
Do all classes have a lab component? | No
What is the ratio of students to faculty in [department_name]? | The ratio of students to faculty in [department_name] is [ratio]
What is the most popular building for [department_name] classes? | The most popular building for [department_name] classes is [building_number]
What is the most popular classroom for [department_name] classes? | The most popular classroom for [department_name] classes is [building_number]
Where am I most likely to spend time as a [department_name] major? | The most popular building for [department_name] classes is [building_number]
Where is the lab for [class_number] located? | The lab for [class_number] is in [location]
When is [professor] free at the end of the day? | [professor] is scheduled for classes until [time]
How many sections of [course] are offered next quarter? | There are [number_sections] for [course] next quarter
What is the most popular course in [department_name]? | [class]-[class_section] has the most students enrolled and waiting.
What course is [class_number]? | [class_number] is [class]
Can I take both [course]-[course_section] and [course]-[course_section]? | There [is not
Which sections of [course] are still open? | Sections [section_number...] are still open
How long is the waitlist for [course]-[course_section]? | The waitlist for [class]-[class_section] is [waitlist_length]
Is there a waitlist for [course]-[course]? | The waitlist for [course]-[course] is [waitlist_length]
How many people are on the waitlist for [course]-[course_section]? | The waitlist for [class]-[class_section] is [waitlist_length]
What [number_level] classes are still open? | [class..] are still open.
How many professors teach [course]? | [number_of_professors] teach [course].
Which professors still have open sections of [course]? | [professor...] are teaching open sections of [course]
Is [course] offered next quarter? | [course] [is
Is [professor] a lecturer? | [professor] [is
What type of teacher is [professor]? | [professor] is a [teacher_type].
Who is teaching the most [department_name] classes next quarter? | [professor] is teaching the most classes next quarter.
What is the least popular course in [department_name]? | [class]-[class_section] has the fewest students enrolled and waiting.
Which professor is  teaching the fewest hours of class? | [professor] is teaching the fewest hours of class.
What [class_number_level] classes can I take to have no class on Mondays? | [class...] have sections without class on Mondays.
How many hours of class does [professor] teach? | [professor] teaches [hours] total.
Are there any sections of [course] open? | [class_section...] have open seats
Which professor teaches [course]-[course_course]? | professor] teaches [class]-[section]
Will [professor] teach [course] next quarter? | [professor] [will
Which section of [course] is the most popular? | [class_section] is the most popular.
What times can I take [course] next quarter? | [course] is offered at [time...]
How many 500 level classes does [professor] teach? | [professor] teaches [number_500_level_classes].
What days can I take [course] on? | [course] is offered [class_days...]
What [class_number_level] classes can I take to have no class on Fridays? | [class...] have sections without class on Fridays.
Where are most [department_name] classes held? | [building] has the most [department_name] classess.
How many students are enrolled so far in [department_name] classes? | [total_number_of_students_enrolled] are currently enrolled in classes.
Is statistics or computer science a more popular department? | Computer science has more students enrolled in classes.
What is the name of course number [class_number] | [class_number] is named [class].
Is course [course] a GE | Class [class] [ge_status] a GE.
Is course [course]-[class_section] a lecture or lab | Class [class]-[class_section] a [lab_lecture_status].
Is [class_number] a lecture or lab | Class [class_number] a [lab_lecture_status].
How many students have dropped [course]-[course_section]? | [total_number_of_students_dropped] have dropped [class]-[class_section].
How many students have dropped [class_number]? | [total_number_of_students_dropped] have dropped [class_number].
How many students have withdrawn from [course]-[course_section]? | [total_number_of_students_withdrawn] have withdrawn from [class]-[class_section].
How many students have withdrawn from [class_number]? | [total_number_of_students_withdrawn] have withdrawn from [class_number].
How many classes does [professor] teach? | [professor] teaches [number_classes_taught].
How many sections of [course] does [professor] teach? | [professor] teaches [number_sections_taught].
Where is [course]-[course_section] located? | [class]-[class_section] is in [location].
Where is [class_number] located? | [class_number] is in [location].
What type of course is [course]-[class_section]? | [class]-[class_section] is [class_type].
What type of class is [class_number]? | [class_number] is [class_type].
How many labs are in [department_name]? | [department_name] has [number_labs].
How many lectures are in [department_name]? | [department_name] has [number_lectures].
How many 400 level classes are in [department_name]? | [department_name] has [number_400_level_classes].
How many 300 level classes are in [department_name]? | [department_name] has [number_300_level_classes].
How many 200 level classes are in [department_name]? | [department_name] has [number_200_level_classes].
How many 100 level classes are in [department_name]? | [department_name] has [number_100_level_classes].
How many 400 level classes does [professor] teach? | [professor] teaches [number_400_level_classes].
How many 300 level classes does [professor] teach? | [professor] teaches [number_300_level_classes].
How many 200 level classes does [professor] teach? | [professor] teaches [number_200_level_classes].
How many 100 level classes does [professor] teach? | [professor] teaches [number_100_level_classes].
How many open seats does [course] have? | [course] has [num_open_seats] open seats.
How many open seats does [course]-[course_section] have? | [class]-[class_section] has [num_open_seats] open seats.
How many open seats does [class_number] have? | [class_number] has [num_open_seats] open seats.
How many GEs are in [department_name]? | [num_ges] are in [department_name].
Is there a class that satisfies [ge_code] GE in [department_name]? | There [ge_status] a class for [ge_code].
What classes satisfy GE [ge_code] in [department_name]? | [class ...] satisfy [ge_code].
Does course satisfy GE [ge_code]? | [class] [ge_status] an option for [ge_code].
Is [course] offered in [term_name]? | [course] [class_status] offered in [term_name].
